index,category,clean_skills
59,Designing,"['Microsoft Office', 'AutoCAD', 'Microsoft Word', 'Architecture', 'Strategic Planning', 'Design', 'Architectural Design', 'Interior Design', 'Sustainable Design', 'Sketching', 'Construction', 'Landscape Design', 'Photography', 'Design Research', 'SketchUp', 'Photoshop', 'PowerPoint', 'Adobe Photoshop', 'AutoCAD Architecture', 'Corel Draw', '3D Studio Max', 'Revit', 'Management', 'Customer Service', 'Leadership', 'Public Speaking']"
60,Designing,"['Project Management', 'AutoCAD', 'New Business Development']"
61,Designing,"['Interior Design', 'Interior Architecture', 'SketchUp']"
62,Designing,['']
63,Designing,"['Graphic Design', 'Web Design', 'Layout']"
64,Designing,"['Design Thinking', 'Research Design', 'Trend Research']"
65,Designing,['']
66,Designing,"['Advertising', 'Market Research', 'Marketing Strategy', 'Marketing Communications', 'Business Development', 'CRM', 'Public Relations', 'Copywriting', 'Brand Management', 'Marketing', 'Media Planning', 'Financial Services', 'Marketing Management', 'Customer Relations', 'Business Strategy', 'Media Buying', 'Entrepreneurship', 'Digital Marketing', 'Business Planning', 'Client Acquisition', 'Client Retention', 'Customer Acquisition', 'Strategic Planning', 'Customer Retention', 'Web Design', 'Integrated Marketing', 'Social Media Marketing', 'Marketing Research', 'Management', 'Customer Service', 'Team Management', 'Negotiation', 'Client Relationship Building', 'Leadership', 'Lead Generation', 'Client Service', 'New Business Development', 'Custo']"
67,Designing,"['Adobe Creative Suite', 'Art Direction', 'Illustration', 'Graphic Design', 'Layout', 'Typography', 'Advertising', 'Creative Direction', 'Interaction Design', 'Graphics', 'Social Media', 'Marketing', 'Magazines', 'User Interface Design', 'Branding', 'Digital Marketing', 'Copywriting', 'Mac', 'Illustrator', 'InDesign', 'Photoshop']"
68,Designing,['']
69,Designing,"['Marketing', 'Microsoft PowerPoint', 'Business Development', 'Fast-Moving Consumer Goods \\(FMCG\\)', 'Brand Management', 'Retail Marketing', 'Social Media Marketing', 'Content Development', 'Research', 'Social Media', 'Marketing Strategy', 'Retail', 'Consumer Behavior', 'Graphic Design', 'Event Management ', 'Sales Management', 'B2B Marketing', 'Digital Marketing', 'Branding', 'Advertising', 'International Marketing', 'Microsoft Excel', 'Microsoft Word', 'Microsoft Office', 'Management', 'Customer Service', 'Team Management', 'Presentation Skills', 'Written Communication', 'HubSpot', 'Consumer Goods', 'B2C Marketing', 'Marketing Campaigns', 'Business Administration']"
70,Designing,['']
71,Designing,"['Microsoft Office', 'Microsoft Excel', 'Microsoft Word']"
72,Designing,['']
73,Designing,"['Architectural Design', 'Graphic Design', 'Project Management']"
74,Designing,"['Fashion', 'Textiles', 'Team Management']"
75,Designing,"['Cisco Technologies', 'CCNA', 'Routing']"
76,Designing,['Fashion Design']
77,Designing,"['WordPress', 'WooCommerce', 'CodeIgniter']"
78,Designing,"['Corporate Branding', 'Advertising', 'SEO']"
79,Designing,['']
80,Designing,"['Architecture', 'Interior Architecture', 'AutoCAD', 'Project Planning', 'Sustainable Design', 'Construction Drawings', 'Submittals', 'Project Management', 'Real Estate', 'Photoshop', 'SketchUp', 'Microsoft Office', 'InDesign', 'Construction Estimating']"
81,Designing,"['Architecture', 'Interior Architecture', 'AutoCAD', 'Project Planning', 'Sustainable Design', 'Construction Drawings', 'Submittals', 'Project Management', 'Real Estate', 'Photoshop', 'SketchUp', 'Microsoft Office', 'InDesign', 'Construction Estimating']"
82,Designing,['']
83,Designing,"['Strategic Planning', 'Marketing', 'Market Research', 'Business Development', 'Marketing Strategy', 'Customer Relationship Management \\(CRM\\)', 'Social Media', 'Microsoft Office', 'Management', 'Team Management']"
84,Designing,"['Entrepreneurship', '3D Printing', 'CNC Manufacturing']"
85,Designing,"['Microsoft Office', 'Management', 'Microsoft Excel']"
86,Designing,['']
87,Designing,"['Indesign', 'Illustration', 'Corel Draw']"
88,Designing,"['Project Management', 'Customer Service', 'AutoCAD', 'Construction', 'Engineering', 'Interior Design', 'Project Planning', 'Strategic Planning', 'Microsoft Excel', 'Microsoft Word', 'Adobe Photoshop', '3D Studio Max', 'Revit', 'Management', 'Leadership', 'Exterior Design']"
89,Designing,['']
90,Designing,['']
91,Designing,"['Engineering', 'CAD', 'Inventor', 'Manufacturing', 'Strategy', 'Project Management', 'Program Management', 'Mechanical Engineering', 'Technical Writing', 'Solution Selling', 'Product Lifecycle Management', 'Sales', 'Product Management', 'Product Development', 'Business Development', 'Sales Operations', 'Software Industry', 'Sheet Metal', 'Product Marketing', 'Strategic Planning', 'CAD/CAM', 'Product Design', 'Cloud Computing', 'Account Management', 'Modeling', 'Channel Partners', 'Pre-sales', '3D visualization', 'Simulations', 'Direct Sales', 'Consulting', 'Go-to-market Strategy', 'CRM', 'AutoCAD', 'Autodesk Inventor', 'Enterprise Software', 'SaaS', 'Solidworks', 'Microsoft Office', 'Salesforce.com', 'Management', 'Strategi']"
92,Designing,['']
93,Designing,['']
94,Designing,"['AutoCAD', 'Revit', 'Pile Foundations']"
95,Designing,['']
96,Designing,"['Sketching', 'Design Thinking', 'Photoshop']"
97,Designing,"['Microsoft Excel', 'Microsoft Office', 'Microsoft Word', 'Strategic Planning', 'Budgets', 'Research', 'PowerPoint', 'Photoshop', 'Windows', 'Outlook', 'HTML', 'Customer Service', 'Public Speaking', 'Teaching', 'English']"
98,Designing,['']
99,Designing,"['New Client Acquisitions', 'Product Development', 'Business Development']"
100,Designing,['']
101,Managment,['']
102,Managment,['']
103,Managment,['']
104,Managment,"['English', 'Employee Relations', 'Data Presentation', 'Interviewing', 'Coordination', 'Personality Development W/S']"
105,Managment,"['Tourism', 'Team Management', 'Customer Service', 'Business Development', 'Leisure Travel', 'Travel Management', 'Marketing', 'Microsoft Office', 'PowerPoint', 'Leadership', 'Training', 'Coaching', 'Team Leadership', 'Teamwork', 'New Business Development']"
106,Managment,['']
107,Managment,['']
108,Managment,['']
109,Managment,['']
110,Managment,"['Microsoft Office', 'Microsoft PowerPoint', 'Java']"
111,Managment,"['Tourism', 'Team Management', 'Customer Service', 'Business Development', 'Leisure Travel', 'Travel Management', 'Marketing', 'Microsoft Office', 'PowerPoint', 'Leadership', 'Training', 'Coaching', 'Team Leadership', 'Teamwork', 'New Business Development']"
112,Managment,"['C++', 'C \\(Programming Language\\)', 'SQL']"
113,Managment,['']
114,Managment,"['Customer Service', 'Training', 'Communication']"
115,Managment,"['IT Service Management', 'Problem Management', 'PRINCE2']"
116,Managment,['']
117,Managment,['']
118,Managment,['']
119,Managment,"['Team Management', 'Business Development', 'Microsoft Excel', 'Recruiting', 'Talent Acquisition', 'Performance Management', 'Human Resources', 'Business Strategy', 'Internet Recruiting', 'Payroll', 'Technical Recruiting', 'Screening', 'HR Policies', 'Customer Relationship Management \\(CRM\\)', 'HR Consulting', 'Vendor Management', 'Benefits Negotiation', 'Executive Search', 'Administration', 'Strategic Planning', 'Strategic Human Resource Planning', 'Microsoft Office', 'PowerPoint', 'Microsoft Word', 'Human Resources Information Systems \\(HRIS\\)', 'Management Information Systems \\(MIS\\)', 'Employee Relations', 'Personnel Management', 'Talent Management', 'Training', 'Sourcing', 'Employee Engagement', 'Management', 'Teaching', 'Leadership', 'Customer Serv']"
120,Managment,"['Telecommunications', 'Vendor Management', 'Pre-sales', 'Service Delivery', 'MPLS', 'Managed Services', 'Business Development', 'CRM', 'IP', 'Multiprotocol Label Switching \\(MPLS\\)', 'Product Management', 'Cloud Computing', 'VoIP', 'Broadband', 'Voice over IP \\(VoIP\\)', 'VAS', 'Wireless', 'Customer Relationship Management \\(CRM\\)', 'Team Management']"
121,Managment,"['Team Management', 'Business Development', 'Microsoft Excel', 'Recruiting', 'Talent Acquisition', 'Performance Management', 'Human Resources', 'Business Strategy', 'Internet Recruiting', 'Payroll', 'Technical Recruiting', 'Screening', 'HR Policies', 'Customer Relationship Management \\(CRM\\)', 'HR Consulting', 'Vendor Management', 'Benefits Negotiation', 'Executive Search', 'Administration', 'Strategic Planning', 'Strategic Human Resource Planning', 'Microsoft Office', 'PowerPoint', 'Microsoft Word', 'Human Resources Information Systems \\(HRIS\\)', 'Management Information Systems \\(MIS\\)', 'Employee Relations', 'Personnel Management', 'Talent Management', 'Training', 'Sourcing', 'Employee Engagement', 'Management', 'Teaching', 'Leadership', 'Customer Serv']"
122,Managment,"['Microsoft Office', 'Microsoft PowerPoint', 'Java']"
123,Managment,"['Microsoft Word', 'Microsoft Office', 'Microsoft Excel']"
124,Managment,"['JavaScript', 'HTML', 'Microsoft SQL Server', 'SDLC', 'Research', 'Project Management', 'ASP.NET', 'SQL', 'Windows', 'CSS', 'PowerPoint', 'C#', 'Microsoft Technologies', 'SQL Server 2005', 'SQL Server 2008R2', 'Customer Service', 'AJAX Toolkit', 'Open Office', 'Microsoft']"
125,Managment,"['Microsoft Excel', 'Leadership', 'Microsoft Word', 'Project Management', 'Microsoft PowerPoint', 'Public Speaking']"
126,Managment,"['Public Relations', 'Social Media', 'Social Media Marketing', 'Strategic Communications', 'Marketing Strategy', 'Marketing Communications', 'Online Marketing', 'Advertising', 'Research', 'Strategic Planning', 'Marketing', 'Media Relations', 'Digital Marketing', 'Event Management', 'Market Research', 'Proofreading', 'Online Advertising', 'Corporate Communications', 'Customer Service', 'New Business Development']"
127,Managment,"['8051 Microcontroller', 'Microprocessors', 'C++', 'Microcontrollers', 'Programming', 'Matlab', 'Microsoft Office', 'VHDL', 'Verilog', 'C \\(Programming Language\\)', 'Teaching']"
128,Managment,['']
129,Managment,"['Event Management', 'Event Planning', 'Management']"
130,Managment,['']
131,Managment,"['Microsoft Office', 'Web Development', 'Graphic Design']"
132,Managment,"['Photography', 'Web Development', 'C \\(Programming Language\\)', 'HTML', 'Java', 'Teamwork']"
133,Managment,"['Management', 'Microsoft Excel', 'Leadership', 'Project Management', 'Strategic Planning', 'Marketing', 'Research', 'Microsoft Word', 'Microsoft PowerPoint', 'Public Speaking', 'Teamwork', 'Team Leadership', 'Team Building']"
134,Managment,"['C \\(Programming Language\\)', 'C++', 'Programming']"
135,Managment,['']
136,Managment,"['Leadership', 'Management', 'Teamwork', 'Research', 'Marketing', 'Microsoft Excel', 'Microsoft Office', 'Microsoft PowerPoint', 'Microsoft Word', 'Public Speaking', 'Team Management', 'Team Leadership']"
137,Managment,['']
138,Managment,"['Microsoft Office', 'Leadership', 'Public Speaking']"
139,Managment,['']
140,Managment,['']
141,Managment,"['Research', 'Siemens NX', 'AutoCAD']"
142,Managment,['']
143,Managment,"['Cost Management', 'Project Management', 'Billing Services']"
144,Managment,"['Databases', 'SQL*Plus', 'Core Java']"
145,Managment,"['Product Development', 'Quality Control', 'Quality Management']"
146,Managment,"['Intel 8085', 'VHDL']"
147,Managment,['']
148,Managment,"['Data Structures', 'Database Management System \\(DBMS\\)', 'Web Development']"
149,Managment,['']
150,Managment,['']
151,Information Technology,['']
152,Information Technology,['']
153,Information Technology,['']
154,Information Technology,"['Management', 'Vendor Management', 'Team Management']"
155,Information Technology,"['Content Development', 'Copy Editing', 'Communication']"
156,Information Technology,"['Public Policy', 'Diplomacy', 'Strategy']"
157,Information Technology,"['IT Management', 'Healthcare Information Technology \\(HIT\\)', 'Information Security Management']"
158,Information Technology,"['Risk Management', 'Fraud', 'Risk Assessment', 'Investigation', 'Strategy', 'Security', 'Information Security', 'Financial Risk', 'Private Investigations', 'Information Security Management', 'Computer Security', 'Crisis Management', 'Banking', 'Security Audits', 'PCI DSS', 'Physical Security', 'Law Enforcement', 'Business Continuity', 'Security Management', 'Enterprise Risk Management', 'Information Technology', 'Vulnerability Assessment', 'Police', 'IT Audit', 'Enforcement', 'Cyber Security', 'Network Security', 'Payment Card Industry Data Security Standard \\(PCI DSS\\)', 'Investigations', 'ISO 27001', 'Operational Risk Management', 'Privacy Law', 'COBIT', 'Privacy', 'Penetration Testing', 'Risk Analysis', 'AML', 'Disaster Recovery', 'Di']"
159,Information Technology,"['Integration', 'Strategy', '.NET', 'Software Development', 'IT Strategy', 'E-commerce', 'Software Engineering', 'IT Management', 'Software Project Management', 'Information Technology', 'Project Management', 'Web Applications', 'Business Intelligence', 'Enterprise Architecture', 'SDLC', 'Strategic Planning', 'Cloud Computing', 'Business Strategy', 'Vendor Management', 'Security', 'Consulting', 'Software Development Life Cycle \\(SDLC\\)', 'Requirements Analysis', 'SOA', 'Start-ups', 'Agile Methodologies', 'Business Analysis', 'Database Design', 'Risk Management', 'Business Process Improvement', 'SaaS', '.NET Framework', 'Microsoft SQL Server', 'C#', 'Enterprise Software', 'Databases', 'SQL Server', 'Software as a Service \\(SaaS\\)', 'Manageme']"
160,Information Technology,"['Information Security', 'Strategic Planning', 'Windows Server']"
161,Information Technology,"['IT Service Management', 'Network Security', 'IT Management', 'ITIL Certified', 'IT Operations', 'Operations Management', 'Vendor Management', 'TCP/IP', 'LAN-WAN', 'Security', 'Firewalls', 'Troubleshooting', 'Network Administration', 'Software Installation', 'System Administration', 'IT Audit', 'Procurement', 'Wide Area Network \\(WAN\\)', 'Project Management', 'Vendor management', 'Information Technology', 'Computer Networking', 'Asset Management', 'Technical Support', 'Dynamic Host Configuration Protocol \\(DHCP\\)', 'ITIL', 'Domain Name System \\(DNS\\)', 'SSL VPN', 'Windows Server', 'Microsoft Exchange', 'Active Directory', 'Office 365', 'Routers', 'Servers', 'Computer Hardware', 'Windows', 'Operating Systems', 'Team Management', 'Management']"
162,Information Technology,"['Integration', 'Strategy', '.NET', 'Software Development', 'IT Strategy', 'E-commerce', 'Software Engineering', 'IT Management', 'Software Project Management', 'Information Technology', 'Project Management', 'Web Applications', 'Business Intelligence', 'Enterprise Architecture', 'SDLC', 'Strategic Planning', 'Cloud Computing', 'Business Strategy', 'Vendor Management', 'Security', 'Consulting', 'Software Development Life Cycle \\(SDLC\\)', 'Requirements Analysis', 'SOA', 'Start-ups', 'Agile Methodologies', 'Business Analysis', 'Database Design', 'Risk Management', 'Business Process Improvement', 'SaaS', '.NET Framework', 'Microsoft SQL Server', 'C#', 'Enterprise Software', 'Databases', 'SQL Server', 'Software as a Service \\(SaaS\\)', 'Manageme']"
163,Information Technology,"['Data Warehousing', 'Database Design', 'PL/SQL']"
164,Information Technology,['']
165,Information Technology,"['CyberSecurity', 'Information Security Management', 'Information Security']"
166,Information Technology,"['C++', 'Matlab', 'C', 'Electrical Engineering', 'Software Development', 'PLC Programming', 'Microcontrollers', 'Control Systems Design', 'Power Electronics', 'Power Systems', 'Energy Audits', 'Strategic Communications', 'System Administration', 'Account Management', 'Event Management', 'Data Analysis', 'Event Planning', 'Accounting', 'Strategic Planning', 'Business Development', 'Continuous Improvement', 'Forecasting', 'Marketing Strategy', 'Knowledge Management', 'Quality Assurance', 'Risk Management', 'Public Relations', 'Troubleshooting', 'Creative Writing', 'Banking', 'Government', 'PowerPoint', 'Microsoft Office', 'AutoCAD', 'Teamwork', 'Presentation Skills', 'Public Speaking', 'Team Building', 'Leadership Development', 'Quali']"
