Module Title,Module Keywords
Cryptography,"Cryptographic techniques
Encryption
Message integrity
Digital signatures
User authentication
Key management
Cryptographic hashing
Network security protocols
Public-key infrastructure
Digital rights management
Secret sharing
Zero-knowledge protocols
Mathematics for cryptography"
IS Project Management,"Project management
Information system project
Project management knowledge areas
Project Management Body Of Knowledge (PMBOK)
Project management software
Technologies"
Organizational Business Functions 1,"Organizations
Management practices
Managerial concepts
Marketing
Organizational functions
Organizational design
Organizational characteristics
Behavior of people
Business study"
Management Information Systems,"IT skills
Business knowledge
MIS professionals
Information use in operations
Information systems management
Strategic use of IT
Organizational change
Innovation"
Data Management and Business Intelligence,"Data integration
Business intelligence
Analytical insight
Data quality
Data transformation methods
Data integration modeling techniques
Data warehouse
Data mining
Strategic planning
Business intelligence application"
E Business Strategy & Architecture and Design,"E-business
Business strategies
E-business concepts
Technical architectures
Usability
User experience
E-commerce sites
Designing e-commerce sites
Testing usabilit"
Information Security Management,"Enterprise information security
Information assets
Protecting information
Security concepts
Security practices"
Organizational Business Functions II,"Economics
Accounting
Human resource management
Financial accounting
Fundamental economic concepts
Market forces
Cost of production"
Enterprise Resource Planning,"Enterprise Resource Planning Systems
Impact on organizations
SAP
Integrated information systems
Procurement
Production
Sales business processes"
Information Systems Strategic Management,"Business and enterprise in competitive markets
Information systems strategies
Core business strategy
Technology and innovation
Decision-making process
Business strategy
Organizational strategies"
Directory Services and Network Management,"Network design
Mapping and baselining
Network and server monitoring
Fault tolerance
Disaster recovery
Simple Network Management Protocol (SNMP)
Lightweight Directory Access Protocol (LDAP)
Cloud computing"
Wide area Networks,"WAN technologies
Network services
Converged applications
Network requirements"
Information Storage Management,"Storing, protecting, optimizing, and managing digital information
Storage system
Storage networking technologies
Backup, archive, and replication
Cloud storage systems security
Managing storage infrastructure accounting within changing, accounting within, management accounting"
Business Management for IT,"Management concepts
Economics
Marketing management
Accounting
Business environment"
Network Security Engineering,"Security fundamentals
Network security threats
Cryptography
Authentication, authorization, and accounting
Firewall technologies
Intrusion detection system
Intrusion prevention systems
Virtual private network
Managing a secure network"
User Experience Designing,"User experience
Design problems
User investigation
Requirement engineering techniques
Usability testing
Secure design
User experience design trends"
3D Modeling & Animation,"3D Modeling
Sculpting techniques
Character animation
Design fundamentals
Visual production
Simulations"
Digital Video Production & Delivery,"Digital video production
Visual production
Equipment and technology
Audio arrangements
Color grading
VFX (Visual Effects)
Digital cinema
Marketing concepts
Advertising"
Digital Image Processing,"Image enhancement
Image restoration
Image segmentation
Image processing methods and procedures"
Games Technology,"Computer gaming
Ethical and cultural aspects of computer games
Technologies used in game making
Game story writing"
Research Project,"engineering industry, software engineering industry, effectively solve real, trend technology software, solve real, solve real world, engineering industry following, module provide understanding, technology software, technology software engineering"
Current Trends in Software Engineering,"image processing, digital image, digital image processing, application digital, application digital image, digital image manipulation, morphological operator, image manipulation, use method procedure, use method"
Image Understanding & Processing,"machine learning, deterministic algorithm, machine learning discus, technology different, algorithm technique may, discus machine learning, realworld problem cannot, discus machine, discus limitation possible, discus limitation"
Machine Learning,"nosql web service, software development implementation, goal software, allowing concentrate, allowing concentrate actual, key concept, key concept software, actual goal software, actual goal, technology emerging"
Enterprise Application Development,"service use, create meaningful, meaningful relationship, learning around key, learning around, almost every, every digital, design student strive, every digital experience, service use computer"
Mobile Application Design & Development,"science unit, science unit intends, unit intends give, unit intends, neural network used, aspect deep, network used, honor degree computer, honor degree, network used realworld"
Deep Learning,"gpu computing shared, memory parallelism map, reduce based distributed, computing shared memory, computing shared, module introduce paralle, gpu computing, parallelism map reduce, parallelism map, parallel algorithm gpu"
Parallel Computing,"solution feature, environment take depth, enterprise storage solution, enterprise storage, programme objective, covered available, covered available enterprise, programme objective unit, unit 4th, unit 4th year"
Database Administration and Storage Systems,"Database administration
Storage systems
Oracle DBMS
Enterprise storage solutions"
Internet of Things and Big Data Analytics,"Internet of Things (IoT)
IoT architectures
Data analytics
Unstructured data
Real-time data
Data streams
Data analytic techniques"
Visual Analytics and User Experience Design,"Visual analytics
User experience design
Analytical reasoning techniques
Visual representations
Interaction techniques
Computation graphics
Information dashboard design"
Security Economic Analysis,"Security economic analysis
Cybersecurity
Economics"
Secure Software Engineering,"Secure software concepts
Secure software requirements
Secure software design
Secure software implementation/coding"
Cyber Forensics and Incident Response,"Digital forensics
Computer crimes investigation
Digital evidence
Data acquisition and duplication
Operating system forensics
Email crimes
Network forensics
Mobile forensics
Cloud forensics
Incident response
Security Operations Center (SOC)"
Governance and Cyber Law Clinic,"IT governance
Risk management
Compliance (GRC)
Cybersecurity
Cyber law
Legal frameworks
Cybercrimes
Cyberespionage
Cyber-warfare"
Machine Learning for Cyber Security,"Machine learning
Information Technology
Machine learning algorithms
Real-world problems
Deterministic algorithms
Future research directions"
Practicing Business Analyst,"Business analysis
Business analyst role
Requirements analysis
Effective solutions
Business problems"
Human Resourse Information Systems,"HRIS (Human Resource Information Systems)
IS roles
Types of information systems
HR practices
HR analytics"
Software Quality Assurance,"Software quality assurance
Process management
Improvement
Testing
Quality assurance techniques
Test design and execution
Standards, policies, and procedures"
Knowledge Management,"Knowledge management
Knowledge creation
Knowledge capture
Knowledge representation
Knowledge storage
Knowledge reuse
Knowledge acquisition
Knowledge organization
Knowledge dissemination
Knowledge management strategies"
Human Computer Interaction,"Human-computer interaction
User interface
Software design
User research
Sketching and prototyping
Usability process
Interface evaluation"
Enterprise Standards for Information Systems,"Automation of structural tasks
Enterprise applications
J2EE
EAD methodologies
NoSQL
Web services
Microservices
IoT
DevOps
OData
Cloud computing
Big data
Mobile application development"
Software Defined Networks,"Software Defined Networking (SDN)
Network control logic
Physical routers and switches
High-level control programs
SDN simulation environment
Mininet
SDN challenges and applications"
Internet of Things,"IoT ecosystem
IoT services development
Industry approach to IoT
Real-time data analysis
Unstructured data"
Virtualization and Cloud Computing Technologies,"Virtualization
Cloud computing
Hypervisor-based virtualization
Container-based virtualization
Network virtualization
Network function virtualization
Virtualization security"
Multimedia Project Management,"Multimedia projects
Multimedia applications
Multimedia delivery methods
Multimedia software"
Modern Topics in IT,"Current topics in IT
Trends in IT
Technologies in IT
Real-world problems"
Database Administration,"Database administration
Oracle DBMS"
Cloud Computing,"Cloud computing
AWS"
Computer Systems and Network Administration,"Network design and management
Network servers
Network monitoring
Fault tolerance, because they exceed the maximum length allowed by the model."
Object Oriented Programming,"network server, network mapping baselining, network server network, protocol ldap simple, security lightweight directoryaccess, security lightweight, network security lightweight, protocol snmp introduction, web www introduction, lightweight directoryaccess protocol"
Network Design Management,"Network design
Network mapping
Baselining
Network servers
Network monitoring
Fault tolerance
Disaster recovery
Network security
Lightweight Directory Access Protocol (LDAP)
Simple Network Management Protocol (SNMP)
World Wide Web (WWW)
Virtualization
Cloud computing"
Database Systems,"Object-relational databases
NoSQL
XML integration
Advanced features
Relational database systems
Indexing
Query optimization
Transactions
Concurrency control techniques"
Business Management for IT,"Information security
Information assurance
Theoretical approach
Introductory topics
Common Body of Knowledge (CBK)
International Information System Security Certification Consortium (ISC)²
Security process
CISSP certification"
Data Science and Analytics,"Data science
Data analytics
Data warehousing
Business intelligence
Traditional methods
Modern methods
SQL Server
Python"
Human Computer Interaction,"Designing
Evaluating
Implementing
Interactive computing systems
User research
Interaction design
User experience design
Software
Standards
Best practices
Principles of design
Sketching
Prototyping
Interface evaluation"
Information Assurance and Security,"Information security
Information assurance
Theoretical approach
Introductory topics
Common Body of Knowledge (CBK)
International Information System Security Certification Consortium (ISC)²
Security process
CISSP certification"
